,Input,BBoutput,MidasOutput,SurfacePlane,SurfaceCoordinates
17,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_096.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_096.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_096.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_096_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_096.npy
18,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_097.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_097.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_097.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_097_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_097.npy
19,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_099.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_099.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_099.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_099_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_099.npy
20,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_101.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_101.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_101.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_101_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_101.npy
21,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_103.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_103.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_103.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_103_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_103.npy
22,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_104.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_104.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_104.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_104_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_104.npy
23,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_106.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_106.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_106.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_106_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_106.npy
24,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_109.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_109.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_109.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_109_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_109.npy
25,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_110.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_110.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_110.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_110_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_110.npy
26,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_111.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_111.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_111.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_111_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_111.npy
27,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_112.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_112.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_112.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_112_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_112.npy
28,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_113.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_113.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_113.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_113_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_113.npy
29,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_114.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_114.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_114.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_114_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_114.npy
30,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_115.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_115.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_115.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_115_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_115.npy
31,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_116.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_116.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_116.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_116_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_116.npy
32,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_117.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_117.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_117.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_117_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_117.npy
33,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_118.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_118.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_118.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_118_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_118.npy
34,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_119.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_119.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_119.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_119_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_119.npy
35,data/datasets/capstone_dataset/inputs/ppe_input_images/LImage_120.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/LImage_120.txt,data/datasets/capstone_dataset/ground_truth/Midas/LImage_120.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_120_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/LImage_120.npy
36,data/datasets/capstone_dataset/inputs/ppe_input_images/Mimg_037.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/Mimg_037.txt,data/datasets/capstone_dataset/ground_truth/Midas/Mimg_037.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_037_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_037.npy
37,data/datasets/capstone_dataset/inputs/ppe_input_images/Mimg_064.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/Mimg_064.txt,data/datasets/capstone_dataset/ground_truth/Midas/Mimg_064.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_064_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_064.npy
38,data/datasets/capstone_dataset/inputs/ppe_input_images/Mimg_003.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/Mimg_003.txt,data/datasets/capstone_dataset/ground_truth/Midas/Mimg_003.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_003_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_003.npy
39,data/datasets/capstone_dataset/inputs/ppe_input_images/Mimg_013.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/Mimg_013.txt,data/datasets/capstone_dataset/ground_truth/Midas/Mimg_013.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_013_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_013.npy
40,data/datasets/capstone_dataset/inputs/ppe_input_images/Mimg_005.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/Mimg_005.txt,data/datasets/capstone_dataset/ground_truth/Midas/Mimg_005.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_005_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_005.npy
41,data/datasets/capstone_dataset/inputs/ppe_input_images/Mimg_014.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/Mimg_014.txt,data/datasets/capstone_dataset/ground_truth/Midas/Mimg_014.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_014_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/Mimg_014.npy
42,data/datasets/capstone_dataset/inputs/ppe_input_images/download.jpg,,data/datasets/capstone_dataset/ground_truth/Midas/download.png,,
43,data/datasets/capstone_dataset/inputs/ppe_input_images/3394f978f6.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/3394f978f6.txt,data/datasets/capstone_dataset/ground_truth/Midas/3394f978f6.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/3394f978f6_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/3394f978f6.npy
44,data/datasets/capstone_dataset/inputs/ppe_input_images/3717d6b543.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/3717d6b543.txt,data/datasets/capstone_dataset/ground_truth/Midas/3717d6b543.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/3717d6b543_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/3717d6b543.npy
45,data/datasets/capstone_dataset/inputs/ppe_input_images/e954464450.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/e954464450.txt,data/datasets/capstone_dataset/ground_truth/Midas/e954464450.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/e954464450_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/e954464450.npy
46,data/datasets/capstone_dataset/inputs/ppe_input_images/d6b603cc63.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/d6b603cc63.txt,data/datasets/capstone_dataset/ground_truth/Midas/d6b603cc63.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/d6b603cc63_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/d6b603cc63.npy
47,data/datasets/capstone_dataset/inputs/ppe_input_images/36c731298a.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/36c731298a.txt,data/datasets/capstone_dataset/ground_truth/Midas/36c731298a.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/36c731298a_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/36c731298a.npy
48,data/datasets/capstone_dataset/inputs/ppe_input_images/b1f365cf14.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/b1f365cf14.txt,data/datasets/capstone_dataset/ground_truth/Midas/b1f365cf14.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/b1f365cf14_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/b1f365cf14.npy
49,data/datasets/capstone_dataset/inputs/ppe_input_images/1da89aacd2.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/1da89aacd2.txt,data/datasets/capstone_dataset/ground_truth/Midas/1da89aacd2.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/1da89aacd2_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/1da89aacd2.npy
50,data/datasets/capstone_dataset/inputs/ppe_input_images/9b88a08d9d.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/9b88a08d9d.txt,data/datasets/capstone_dataset/ground_truth/Midas/9b88a08d9d.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/9b88a08d9d_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/9b88a08d9d.npy
51,data/datasets/capstone_dataset/inputs/ppe_input_images/b057452dc4.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/b057452dc4.txt,data/datasets/capstone_dataset/ground_truth/Midas/b057452dc4.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/b057452dc4_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/b057452dc4.npy
52,data/datasets/capstone_dataset/inputs/ppe_input_images/825fda598b.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/825fda598b.txt,data/datasets/capstone_dataset/ground_truth/Midas/825fda598b.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/825fda598b_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/825fda598b.npy
53,data/datasets/capstone_dataset/inputs/ppe_input_images/92d8d71598.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/92d8d71598.txt,data/datasets/capstone_dataset/ground_truth/Midas/92d8d71598.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/92d8d71598_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/92d8d71598.npy
54,data/datasets/capstone_dataset/inputs/ppe_input_images/27c1da4205.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/27c1da4205.txt,data/datasets/capstone_dataset/ground_truth/Midas/27c1da4205.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/27c1da4205_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/27c1da4205.npy
55,data/datasets/capstone_dataset/inputs/ppe_input_images/115fea1f20.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/115fea1f20.txt,data/datasets/capstone_dataset/ground_truth/Midas/115fea1f20.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/115fea1f20_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/115fea1f20.npy
56,data/datasets/capstone_dataset/inputs/ppe_input_images/db9a785c0f.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/db9a785c0f.txt,data/datasets/capstone_dataset/ground_truth/Midas/db9a785c0f.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/db9a785c0f_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/db9a785c0f.npy
57,data/datasets/capstone_dataset/inputs/ppe_input_images/1138b4f228.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/1138b4f228.txt,data/datasets/capstone_dataset/ground_truth/Midas/1138b4f228.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/1138b4f228_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/1138b4f228.npy
58,data/datasets/capstone_dataset/inputs/ppe_input_images/ea197f2a05.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/ea197f2a05.txt,data/datasets/capstone_dataset/ground_truth/Midas/ea197f2a05.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/ea197f2a05_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/ea197f2a05.npy
59,data/datasets/capstone_dataset/inputs/ppe_input_images/40382231b4.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/40382231b4.txt,data/datasets/capstone_dataset/ground_truth/Midas/40382231b4.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/40382231b4_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/40382231b4.npy
60,data/datasets/capstone_dataset/inputs/ppe_input_images/dc5d76cc99.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/dc5d76cc99.txt,data/datasets/capstone_dataset/ground_truth/Midas/dc5d76cc99.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/dc5d76cc99_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/dc5d76cc99.npy
61,data/datasets/capstone_dataset/inputs/ppe_input_images/0b59d3bd16.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/0b59d3bd16.txt,data/datasets/capstone_dataset/ground_truth/Midas/0b59d3bd16.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/0b59d3bd16_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/0b59d3bd16.npy
62,data/datasets/capstone_dataset/inputs/ppe_input_images/b19cdbdccb.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/b19cdbdccb.txt,data/datasets/capstone_dataset/ground_truth/Midas/b19cdbdccb.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/b19cdbdccb_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/b19cdbdccb.npy
63,data/datasets/capstone_dataset/inputs/ppe_input_images/6fd6002976.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/6fd6002976.txt,data/datasets/capstone_dataset/ground_truth/Midas/6fd6002976.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/6fd6002976_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/6fd6002976.npy
64,data/datasets/capstone_dataset/inputs/ppe_input_images/193e7fcbd7.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/193e7fcbd7.txt,data/datasets/capstone_dataset/ground_truth/Midas/193e7fcbd7.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/193e7fcbd7_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/193e7fcbd7.npy
65,data/datasets/capstone_dataset/inputs/ppe_input_images/5e3d9f56d2.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/5e3d9f56d2.txt,data/datasets/capstone_dataset/ground_truth/Midas/5e3d9f56d2.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/5e3d9f56d2_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/5e3d9f56d2.npy
66,data/datasets/capstone_dataset/inputs/ppe_input_images/348075e2cf.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/348075e2cf.txt,data/datasets/capstone_dataset/ground_truth/Midas/348075e2cf.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/348075e2cf_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/348075e2cf.npy
67,data/datasets/capstone_dataset/inputs/ppe_input_images/386981234e.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/386981234e.txt,data/datasets/capstone_dataset/ground_truth/Midas/386981234e.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/386981234e_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/386981234e.npy
68,data/datasets/capstone_dataset/inputs/ppe_input_images/182deb6b92.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/182deb6b92.txt,data/datasets/capstone_dataset/ground_truth/Midas/182deb6b92.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/182deb6b92_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/182deb6b92.npy
69,data/datasets/capstone_dataset/inputs/ppe_input_images/73efe13883.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/73efe13883.txt,data/datasets/capstone_dataset/ground_truth/Midas/73efe13883.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/73efe13883_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/73efe13883.npy
70,data/datasets/capstone_dataset/inputs/ppe_input_images/271671372b.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/271671372b.txt,data/datasets/capstone_dataset/ground_truth/Midas/271671372b.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/271671372b_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/271671372b.npy
71,data/datasets/capstone_dataset/inputs/ppe_input_images/96d68752e0.jpg,data/datasets/capstone_dataset/ground_truth/BBoxData/labels/96d68752e0.txt,data/datasets/capstone_dataset/ground_truth/Midas/96d68752e0.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/96d68752e0_segmentation_final.png,data/datasets/capstone_dataset/ground_truth/SurfacePlanes/96d68752e0.npy
